Genus,Species,Family,Illegally_Hunted?,2006_IUCN_threat,AdultBodyMass_grams,AgeFirstBirth_days,AgeSexualMaturity_days,GestationLength_days,InterBirthInterval_days,Group_size,GeographicRange_km2,HomeRange_km2,MaximumLongevity_months,PopulationDensity_km2,MeanHumanPopulationDensity_km2,2003GrossNationalIncome_US$,MatingSystem,Diet,HabitatBreadth
Oreamnos,americanus,Bovidae,No,Not_Threatened,71300,1095.00,836.46,181.25,365.00,3.00,1137828,18.20,230.04,NA,4.68,3319359.66,NA,Generalist,2
Oreotragus,oreotragus,Bovidae,Yes,Threatened,13400,NA,323.18,214.00,365.00,2.00,5375303,NA,213.96,2.55,38.40,20174.22,Monogamous,Specialist,1
Oryx,gazella,Bovidae,Yes,Threatened,186000,866.88,730.00,273.75,NA,20.00,4679314,NA,240.00,2.48,23.15,43602.17,Polygamous,Specialist,5
Oryx,leucoryx,Bovidae,No,NA,74700,NA,NA,240.00,NA,5.00,NA,NA,240.00,NA,NA,NA,Polygamous,Specialist,NA
Ourebia,ourebi,Bovidae,Yes,Threatened,17100,674.34,323.06,210.50,182.50,2.00,8258057,NA,189.96,2.36,35.72,14500.83,Monogamous,Specialist,2
Ovibos,moschatus,Bovidae,No,Not_Threatened,313000,1277.50,1095.00,256.59,547.50,12.50,1615606,NA,288.00,0.32,0.01,1273689.84,Polygamous,Generalist,4
Ovis,ammon,Bovidae,Yes,Threatened,113000,NA,490.80,165.00,365.00,NA,10939817,4.59,180.96,0.03,21.78,606611.35,NA,NA,3
Ovis,aries,Bovidae,No,Threatened,34200,730.00,699.45,152.08,365.00,NA,NA,NA,230.04,NA,NA,NA,Polygamous,Specialist,3
Ovis,canadensis,Bovidae,No,Threatened,74600,301.50,622.83,177.49,365.00,NA,2457850,19.00,288.00,1.51,7.03,8883440.61,Polygamous,Specialist,4
Ovis,dalli,Bovidae,No,Not_Threatened,69600,730.00,641.51,172.49,365.00,9.50,1014237,10.30,192.00,NA,0.52,4000375.86,Polygamous,Specialist,4
Ovis,nivicola,Bovidae,No,Threatened,90000,NA,730.00,NA,NA,,1641069,NA,NA,NA,0.35,419684.00,NA,NA,4
Ovis,vignei,Bovidae,Yes,NA,51800,NA,NA,165.45,365.00,35.00,NA,NA,165.96,NA,NA,NA,NA,NA,1
Ozotoceros,bezoarticus,Cervidae,Yes,Not_Threatened,34400,NA,304.17,220.39,317.08,3.50,3649669,6.17,NA,NA,29.50,341776.06,Polygamous,Generalist,2
Pantholops,hodgsonii,Bovidae,Yes,Threatened,32500,NA,,212.92,365.00,NA,1113531,,NA,NA,1.69,1574470.00,Polygamous,Generalist,3
Pecari,tajacu,Tayassuidae,Yes,Not_Threatened,21300,350.00,253.85,144.85,155.00,20.00,15771441,1.40,288.00,7.93,26.94,732940.86,NA,Generalist,4
Pelea,capreolus,Bovidae,No,Not_Threatened,22500,NA,NA,261.00,NA,10.25,866217,NA,147.96,18.20,34.26,149006.08,Polygamous,Generalist,3
